"","family","location","mean.loc.abund"
"393","f:Rubrobacteraceae","Ningaloo",0.000402967582637665
"394","f:Rubrobacteraceae","Philippines",0.000120378944904358
"395","f:Rubrobacteraceae","Tanzania",0.000113539104984373
"396","f:Conexibacteraceae","Cancun",6.63083097059373e-05
"397","f:Conexibacteraceae","Lapaz",0.000109878843244554
"398","f:Conexibacteraceae","Ningaloo",0.000267864791955062
"399","f:Conexibacteraceae","Philippines",6.81394796425547e-05
"400","f:Conexibacteraceae","Tanzania",7.13104549024604e-05
"401","f:Patulibacteraceae","Cancun",4.78123413439837e-06
"402","f:Patulibacteraceae","Lapaz",5.4781192097211e-06
"403","f:Patulibacteraceae","Ningaloo",1.90908877160143e-05
"404","f:Patulibacteraceae","Philippines",4.02150892700809e-06
"405","f:Patulibacteraceae","Tanzania",4.01526830427085e-06
"406","f:Aquificaceae","Cancun",0.000152882701165818
"407","f:Aquificaceae","Lapaz",0.000251679505087509
"408","f:Aquificaceae","Ningaloo",0.000826627649305912
"409","f:Aquificaceae","Philippines",0.000171530230800488
"410","f:Aquificaceae","Tanzania",0.000310265439942907
"411","f:Hydrogenothermaceae","Cancun",0.000113195971068714
"412","f:Hydrogenothermaceae","Lapaz",0.000242902916280196
"413","f:Hydrogenothermaceae","Ningaloo",0.00067263800358867
"414","f:Hydrogenothermaceae","Philippines",0.000144793441356531
"415","f:Hydrogenothermaceae","Tanzania",0.000258705728585326
"416","f:Desulfurobacteriaceae","Cancun",2.16543129628316e-05
"417","f:Desulfurobacteriaceae","Lapaz",4.54853267657744e-05
"418","f:Desulfurobacteriaceae","Ningaloo",0.000186668528748481
"419","f:Desulfurobacteriaceae","Philippines",1.32388568684283e-05
"420","f:Desulfurobacteriaceae","Tanzania",4.67796325025306e-05
"421","f:Chthonomonadaceae","Cancun",8.76213675586463e-05
"422","f:Chthonomonadaceae","Lapaz",0.00010854927530424
"423","f:Chthonomonadaceae","Ningaloo",0.000195605211149883
"424","f:Chthonomonadaceae","Philippines",8.53559783659085e-05
"425","f:Chthonomonadaceae","Tanzania",8.12179102937353e-05
"426","f:Un_Bacteroidetes","Cancun",1.46960812848109e-05
"427","f:Un_Bacteroidetes","Lapaz",0.000224123069080666
"428","f:Un_Bacteroidetes","Ningaloo",8.63075650588068e-05
